sign,site,n_words,init_obs,init_p,init_sig,final_obs,final_p,final_sig
PA,Tylissos,21,2,0.17383,0,0,1.0,0
PA,Zakros,132,3,0.74226,0,5,0.1988,0
PA₃,Arkhalkhori,34,0,1.0,0,0,1.0,0
PA₃,Haghia Triada,694,7,0.87512,0,6,0.94406,0
PA₃,Iouktas,34,0,1.0,0,0,1.0,0
PA₃,Khania,120,0,1.0,0,0,1.0,0
PA₃,Knossos,61,0,1.0,0,2,0.1049,0
PA₃,Palaikastro,57,1,0.65235,0,0,1.0,0
PA₃,Phaistos,58,0,1.0,0,3,0.19481,0
PA₃,Syme,21,1,0.54446,0,1,0.55045,0
PA₃,Tylissos,21,0,1.0,0,0,1.0,0
PA₃,Zakros,132,0,1.0,0,0,1.0,0
PI,Arkhalkhori,34,2,0.59041,0,2,0.60539,0
PI,Haghia Triada,694,6,0.03896,1,1,0.97203,0
PI,Iouktas,34,0,1.0,0,0,1.0,0
PI,Khania,120,2,0.63437,0,1,0.8981,0
PI,Knossos,61,0,1.0,0,4,0.06194,0
PI,Palaikastro,57,1,0.75824,0,1,0.81419,0
PI,Phaistos,58,2,0.22278,0,0,1.0,0
PI,Syme,21,0,1.0,0,0,1.0,0
PI,Tylissos,21,1,0.51049,0,1,0.52747,0
PI,Zakros,132,2,0.89411,0,2,0.89011,0
QA,Arkhalkhori,34,0,1.0,0,0,1.0,0
QA,Haghia Triada,694,16,0.001,1,1,1.0,0
QA,Iouktas,34,0,1.0,0,0,1.0,0
QA,Khania,120,5,0.01299,1,0,1.0,0
QA,Knossos,61,2,0.21179,0,0,1.0,0
QA,Palaikastro,57,0,1.0,0,3,0.03796,1
QA,Phaistos,58,1,0.51249,0,0,1.0,0
QA,Syme,21,1,0.62637,0,1,0.66134,0
QA,Tylissos,21,0,1.0,0,0,1.0,0
QA,Zakros,132,1,0.33467,0,0,1.0,0
QE,Arkhalkhori,34,0,1.0,0,0,1.0,0
QE,Haghia Triada,694,15,0.01698,1,5,0.97802,0
QE,Iouktas,34,0,1.0,0,0,1.0,0
QE,Khania,120,0,1.0,0,0,1.0,0
QE,Knossos,61,0,1.0,0,1,0.50849,0
QE,Palaikastro,57,0,1.0,0,0,1.0,0
QE,Phaistos,58,0,1.0,0,1,0.55644,0
QE,Syme,21,0,1.0,0,0,1.0,0
QE,Tylissos,21,0,1.0,0,0,1.0,0
QE,Zakros,132,2,0.16284,0,1,0.6044,0
RA,Arkhalkhori,34,0,1.0,0,2,0.26873,0
RA,Haghia Triada,694,7,1.0,0,28,0.00599,1
RA,Iouktas,34,0,1.0,0,1,0.82817,0
RA,Khania,120,1,0.78022,0,2,0.35265,0
RA,Knossos,61,0,1.0,0,5,0.13287,0
RA,Palaikastro,57,2,0.57642,0,2,0.56843,0
RA,Phaistos,58,1,0.8981,0,3,0.22178,0
RA,Syme,21,1,0.68232,0,0,1.0,0
RA,Tylissos,21,0,1.0,0,0,1.0,0
RA,Zakros,132,2,0.84615,0,3,0.5974,0
RA₂,Arkhalkhori,34,0,1.0,0,1,0.24675,0
RA₂,Haghia Triada,694,2,1.0,0,34,0.001,1
RA₂,Iouktas,34,0,1.0,0,0,1.0,0
RA₂,Khania,120,0,1.0,0,0,1.0,0
RA₂,Knossos,61,0,1.0,0,0,1.0,0
RA₂,Palaikastro,57,0,1.0,0,0,1.0,0
RA₂,Phaistos,58,0,1.0,0,1,0.21279,0
RA₂,Syme,21,0,1.0,0,0,1.0,0
RA₂,Tylissos,21,0,1.0,0,0,1.0,0
RA₂,Zakros,132,1,0.65235,0,1,0.7043,0
RE,Arkhalkhori,34,0,1.0,0,1,0.4995,0
RE,Haghia Triada,694,7,1.0,0,30,0.003,1
RE,Iouktas,34,0,1.0,0,0,1.0,0
