rank	type	freq
804	PO-RA-PI	3
805	TE-KO-TO-NA-PE	3
806	TU-RU-PTE-RI-JA	3
807	QA-RA2-TE	3
808	WO-WI-JA-TA	3
809	AU-KE-WA	3
810	PA-DA-JE-U	3
811	RE-KA-TA-NE	3
812	DA-KO-RO	3
813	RA-MI-NI-JO	3
814	KO-TU-WE	3
815	A-PI-QO-TA-O	3
816	RA-WA-RA-TA2	3
817	WE-JO	3
818	SA-RI-NU-WO-TE	3
819	E-RI-NO-WO-TE	3
820	E-PO-WI-JA	3
821	PO-KI-RO-QO	3
822	NE-WO-KI-TO	3
823	MA-RA-TE-U	3
824	A-KE-RE-U	3
825	E-RE-E-WE	3
826	A-PE-E-KE	3
827	RA-WA-KE-TA	3
828	KE-KE-ME-NO	3
829	A-KE-RE-SE	3
830	TI-MI-TI-JA	3
831	TO-TO-WE-TO	3
832	NE-QE-U	3
833	ME-NU-A2	3
834	SI-PO-RO	3
835	PO-RU-QO-TA	3
836	A-KO-TO-WO	3
837	RA-MA-JO	3
838	A-PA-RE-U-PI	3
839	I-MA-DI-JO	3
840	WA-RA-PI-SI-RO	3
841	A-KO	3
842	E-RA-TE-RE-WA-PI	3
843	RE-QA-SE-WO	3
844	E-TE-WA-JO	3
845	TI-RI-DA-RO	3
846	E-RO2-QO	3
847	E-KA-RA	3
848	QO-QO-TA-O	3
849	WO-ZE	3
850	RA-WA-KE-SI-JO-JO	3
851	E-U-ME-NE	3
852	E-U-ME-DE	3
853	A-NO-NO	3
854	TI-NWA-SI-JO	3
855	A-RE-PO-ZO-O	3
856	TE-RE-JA-E	3
857	TE-RE-JA	3
858	E-U-RU-WO-TA	3
859	PA-KI-JA-PI	3
860	RA-KU-RO	3
861	I-NA	3
862	RE-KA	3
863	TE-TE-RE-U	3
864	WI-DWO-I-JO	3
865	PI-KE-RE-WO	3
866	PA-KI-JA-NI-JA	3
867	WA-NA-TA-JO-JO	3
868	A-MA-RU-TA-O	3
869	E-SA-RO	3
870	PE-QO-TA	3
871	PI-KE-RE-WE	3
872	A-MA-RU-TA	3
873	KO-NA	3
874	O-PO-RO-ME-NO	3
875	A3-KI-WA-RO	3
876	KA-RA-I	3
877	A-NE-O	3
878	PI-RO-TA-WO	3
879	KU-DA-MA-RO	3
880	WE-DA-NE-WE	3
881	A-KE-TI-RI-JA-I	3
882	E-TI-WE	3
883	WE-JA-RE-PE	3
884	WE-A-RE-PE	3
885	PO-RO-WI-TO	3
886	WA-NA-SE-WI-JA	3
887	A-RO-PA	3
888	MO-RE-U	3
889	PO-TI-NA-JO	3
890	MA-NO-U-RO	3
891	NA-I-SE-WI-JO	3
892	TI-MI-TO-A-KE-E	3
893	PE-RU-SI-NU-WA	3
894	E-WI-TE-WI-JO	3
895	E-RE-U-TE-RO	3
896	U-RA-*86	3
897	PE-RE-WO-TE	3
898	KO-RE-TE-RI	3
899	NO-PE-RE-A2	3
900	WE-JE-KE-A2	3
901	TO-QI-DE	3
902	O-PI-KE-RE-MI-NI-JA-PI	3
903	QE-RA-NA	3
904	KO-KI-RE-JA	3
905	E-KA-MA-PI	3
906	E-NE-WO-PE-ZA	3
907	E-RE-PA-TE-JA	3
908	KU-RU-SO-QE	3
909	WA-O	3
910	TA-RA-NU-WE	3
911	PO-RE-NA-QE	3
912	PE-RE-*82	3
913	A-PO-RE-WE	3
914	KO-RI-A2-DA-NA	3
915	TU-RO2	3
916	DE-MI-NI-JA	3
917	KA-PI-NI-JA	3
918	PA-KE-TE-RE	3
919	PE-RI-KE	3
920	O-NI-SI	3
921	O-KO-WE-I	3
922	KE-RE-NA-I	3
923	RE-WA-KO	3
924	KA-TI-JO	3
925	KA-RA-WI-JA	3
926	E-PI-QO-I	3
927	*63-U-RO	3
928	TE-KA-TA-SI	3
929	RO-WE-WI-JA	3
930	NA-SU-TO	3
931	TE-RA-WO	3
932	PU2-KE	3
933	PE-KE-U	3
934	KU-MI-NO	3
935	PU-TI	3
936	A-DO-WE	3
937	KU-JA-NI	3
938	SU-RO-NO	3
939	E-RI-NU	2
940	*47-DA-DE	2
941	A-NE-MO-I-JE-RE-JA	2
942	*56-TI	2
943	E-TI-WA	2
944	KE-ME-NO	2
945	RA-NI	2
946	KU-JA-RO	2
947	A-NO-QO-TA-O	2
948	KI-U-RO	2
949	A-QI-RU	2
950	QA-RA2-WO	2
951	PE-RO	2
952	I-MO-RO-NE-U	2
953	PA-TA-RE	2
954	WO-DI-JO	2
955	I-TO-MA	2
956	PE-RI-TA	2
957	RA-WO-TI-JO	2
958	E-E-SI	2
959	KA-RA-NA-TA	2
960	PE-KA-WO	2
961	KA-WI	2
962	PE-RE-KO	2
963	A-PI-JA-RE	2
964	DI-WI-JA	2
965	A-KU-DI-RI-JO	2
966	PA-JA	2
967	PA-ZE	2
968	PE-DA	2
969	A-E	2
970	WO-NE	2
971	A-PE-O	2
972	PO-RU-DA-SI-JO	2
973	QE-RE-WA	2
974	WO-NO-DA	2
975	A-TA-TI-NU	2
976	TO-NI	2
977	I-JA-WO-NE	2
978	WE-WE-RO	2
979	A-E-DA-DO-RO	2
980	A-ME-JA	2
981	A-RI-WE-WE	2
982	PU2-TE-RE	2
983	A-QI-RA	2
984	KU-DO-NI-JO	2
985	WA-KE-I-JO	2
986	WE-WE-E-A	2
987	PE-RE-WA-TA	2
988	PU2-RE-WA	2
989	RE-O	2
990	WE-WA-DO-RO	2
991	DI-SO	2
992	KE-RE-WA	2
993	WO-DO	2
994	I-WE	2
995	MA-TI-KO	2
996	MA-SE	2
997	PO-KI	2
998	E-WE-DE-U	2
999	RU-KI-TI-JA	2
1000	MO-NI-KO	2
1001	TO-QA	2
1002	KA-RO	2
1003	E-PI-KO-WA	2
1004	MA-RO-NE	2
1005	PO-RO-KO-WA	2
1006	DE-MA-SI	2
1007	QA-TI-JA	2
1008	DA-*83-JA-DE	2
1009	DE-KA-SA-TO	2
1010	JO-TE	2
1011	TU-RI	2
1012	KA-RU-NO	2
1013	DI-TA-KA-SO	2
1014	E-PU2-NO	2
1015	KU-KA-SO	2
1016	JA-PA-RA-RO	2
1017	E-RA-JO	2
1018	PU-DA-SO	2
1019	KO-NO-NI-PI	2
1020	O-RE-TE-WO	2
1021	KE-U-PO-DA-O	2
1022	MU-KO	2
1023	KO-WE-JO	2
1024	TA-WO	2
1025	KU-MI-SO	2
1026	ZA-WE-TE-RA	2
