hash,basename,experiment_dir,canonical,n_locations,ext
5a72b2314d903c56,CHECKPOINT_WP1_WP3.1.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/CHECKPOINTS/CHECKPOINT_WP1_WP3.1.md,2,md
ad85a940cb260c7a,CHECKPOINT_WP3_WP5.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/CHECKPOINTS/CHECKPOINT_WP3_WP5.md,2,md
d2eb761744177ed3,word_units.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/word_units.py,2,py
aa089e02b2bc926b,candidate_round1.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/candidate_round1.py,2,py
cf5a9aa204ef3cba,wp3_2b_power_curve.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp3_2b_power_curve.py,2,py
5a13d5ed484460ba,candidate_round3.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/candidate_round3.py,2,py
e41b2c4e543ff5d6,wp3_cv_cluster.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp3_cv_cluster.py,2,py
828db4d4509c3d64,wp3_3_orthographic_alternations.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp3_3_orthographic_alternations.py,2,py
1dd88c7b608be341,candidate_round2.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/candidate_round2.py,2,py
2c27c6bfa2149761,wp7_cvcheck_patch.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp7_cvcheck_patch.py,2,py
4f26bd0d13074225,wp5_reduced_seed_bootstrap.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp5_reduced_seed_bootstrap.py,2,py
1bbb0149fdf69649,wp7_word_substitution_channel.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp7_word_substitution_channel.py,2,py
6f7d7adab4934fe9,wp5_anchor_inventory.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp5_anchor_inventory.py,2,py
b94e336ce2d344e8,candidate_engine.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/candidate_engine.py,2,py
6dc8ac4c2f15645b,wp2_segmentation_lever.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp2_segmentation_lever.py,2,py
0e96d84270135830,wp3_4_morphology_cv.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp3_4_morphology_cv.py,2,py
3110814f92a96aef,wp7_source_register.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp7_source_register.py,2,py
32f19303e9b61d6f,wp6_agnostic_search_endtoend_null.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp6_agnostic_search_endtoend_null.py,2,py
bccb301f696adfeb,build_seals.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/build_seals.py,2,py
39106ff59d081c3c,wp5_2_seed_propagation_power_curve.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp5_2_seed_propagation_power_curve.py,2,py
7f0741c76e114270,wp3_cv_recovery.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp3_cv_recovery.py,2,py
ca19099f2a5b15e9,seal_common.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/seal_common.py,2,py
c84b401369a93e7a,wp8_word_reduced_seed_cv.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp8_word_reduced_seed_cv.py,2,py
5eedcb24925b6cf8,candidate_round1_wordunits.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/candidate_round1_wordunits.py,2,py
4497516e91155073,wp1_symmetry_break.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp1_symmetry_break.py,2,py
07bce1a40e0c9229,wp6_synthetic_recovery_lab.py,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/scripts/wp6_synthetic_recovery_lab.py,2,py
