source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser,adjudicated_agree
misctexts,ARKH 3,Arkhanes,tablet,a.3,12,,,2,,0,1,0,0,A,1
HTtexts,HT 111,Haghia Triada,tablet,a.3,638,DI,,14,,0,1,0,0,A,1
HTtexts,HT 111,Haghia Triada,tablet,b.2,641,,,3,,0,1,0,0,A,1
misctexts,KH 15,Khania,tablet,.1,116,FIC,,,J,0,0,0,0,A,1
HTtexts,HT 154K,Haghia Triada,tablet,.2,856,,,2,,0,1,0,0,A,1
misctexts,KH 41,Khania,tablet,.1,155,,,3,,0,1,0,0,A,1
misctexts,KH 73,Khania,tablet,.3,185,,,,K,0,1,0,0,A,1
misctexts,ARKH 3,Arkhanes,tablet,a.5,15,TE,,2,,0,1,0,0,A,1
HTtexts,HT 109,Haghia Triada,tablet,.1,618,RE,,4,,0,1,0,0,A,1
HTtexts,HT 3,Haghia Triada,tablet,.3,11,,,2,,0,1,0,0,A,1
HTtexts,HT 3,Haghia Triada,tablet,.3,12,DI,,2,,0,1,0,0,A,1
misctexts,KH 9,Khania,tablet,.2,80,,,,K,0,1,0,0,A,1
misctexts,KH 9,Khania,tablet,.2,81,FIC,,,EB,0,0,0,0,A,1
misctexts,KH 75,Khania,tablet,.2,187,FIC,,,B,0,0,0,0,A,1
HTtexts,HT 131,Haghia Triada,tablet,a.2,801,,,353,,0,1,0,0,A,1
HTtexts,HT 106,Haghia Triada,tablet,.2,606,SI,,5,J,0,0,0,0,A,1
HTtexts,HT 106,Haghia Triada,tablet,.2,607,SI,,1,,0,0,0,0,A,1
misctexts,PH 7,Phaistos,tablet,b.1,275,TA,,1,L,0,1,0,0,A,1
HTtexts,HT 37,Haghia Triada,tablet,.5,289,A,,15,,0,0,0,0,A,1
misctexts,KH 60,Khania,tablet,.3,173,,,,D,0,1,0,0,A,1
HTtexts,HT 127,Haghia Triada,tablet,b.2,776,NE,,13,,0,1,0,0,A,1
HTtexts,HT 154N,Haghia Triada,tablet,.2,857,,,6,,0,1,0,0,A,1
HTtexts,HT 35,Haghia Triada,tablet,.3,281,,,5,E,0,0,0,0,A,1
HTtexts,HT 21,Haghia Triada,tablet,.4,145,OLIV,,1,E,0,0,0,0,A,1
misctexts,KH 61,Khania,tablet,.2,176,,,1,,0,1,0,0,A,1
misctexts,ZA 29,Zakros,tablet,a.1,500,MA,,100,,0,1,0,0,A,1
HTtexts,HT 113,Haghia Triada,tablet,.3,644,O,,2,J,0,0,0,0,A,1
misctexts,KH 67,Khania,tablet,.2,181,,,1,,0,1,0,0,A,1
misctexts,PH 12,Phaistos,lame,b.1,286,,,,E,0,1,0,0,A,1
HTtexts,HT 37,Haghia Triada,tablet,.3,286,,,6,,0,1,0,0,A,1
misctexts,KH 25,Khania,tablet,.2,139,VIR,,10,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.4,631,,,2,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.4,632,FIC,,1,J,0,1,0,0,A,1
misctexts,KH 19,Khania,tablet,.2,128,,,2,,0,1,0,0,A,1
HTtexts,HT 54,Haghia Triada,tablet,b.1,360,,,4,,0,1,0,0,A,1
misctexts,KH 17,Khania,tablet,.3,121,,,4,JB,0,1,0,0,A,1
HTtexts,HT 99,Haghia Triada,tablet,a.2,556,FIC,,4,,0,1,0,0,A,1
HTtexts,HT 69,Haghia Triada,tablet,.1,403,,,5,,0,1,0,0,A,1
HTtexts,HT 69,Haghia Triada,tablet,.1,404,DI,,8,,0,1,0,0,A,1
misctexts,PH 8,Phaistos,tablet,a.3,281,,,16,,0,1,0,0,A,1
HTtexts,HT 57,Haghia Triada,tablet,a.3,371,,,,F,0,1,0,0,A,1
HTtexts,HT 154A,Haghia Triada,tablet,.4,853,KU,,6,,0,1,0,0,A,1
